time,AX,AY,AZ,GX,GY,GZ
40.364128,-2336.000000,-304.000000,-15032.000000,-384.000000,11.000000,-18.000000
40.538219,-2400.000000,-332.000000,-15184.000000,-361.000000,-2.000000,-56.000000
40.756741,-2412.000000,-356.000000,-15084.000000,-379.000000,-1.000000,-60.000000
40.931185,-2332.000000,-336.000000,-15160.000000,-399.000000,-11.000000,-53.000000
41.150333,-2432.000000,-392.000000,-15220.000000,-413.000000,-17.000000,-34.000000
41.370537,-2368.000000,-344.000000,-15060.000000,-390.000000,-26.000000,-43.000000
41.543649,-2348.000000,-412.000000,-15100.000000,-389.000000,-10.000000,-49.000000
41.764192,-2220.000000,-344.000000,-15032.000000,-365.000000,25.000000,-35.000000
42.025381,-4452.000000,3064.000000,-13972.000000,3814.000000,-6028.000000,1821.000000
42.157773,-5020.000000,-6368.000000,-22856.000000,8906.000000,-6449.000000,-5562.000000
42.375635,-4572.000000,-8924.000000,-15236.000000,12225.000000,17997.000000,20624.000000
42.550209,-2828.000000,-21796.000000,-19636.000000,2544.000000,-1849.000000,-4172.000000
42.775687,5884.000000,-4196.000000,-10472.000000,17679.000000,25884.000000,5454.000000
42.991345,4468.000000,-19928.000000,816.000000,7564.000000,27149.000000,5505.000000
43.162598,2328.000000,-13964.000000,12052.000000,4296.000000,11873.000000,8707.000000
43.381950,-1148.000000,-10264.000000,9268.000000,11414.000000,-9935.000000,7344.000000
43.614511,-124.000000,-13312.000000,8268.000000,1378.000000,-2370.000000,4271.000000
43.775626,-3592.000000,-11176.000000,14648.000000,3351.000000,-1075.000000,7158.000000
44.007863,-5692.000000,-12564.000000,17800.000000,-450.000000,3312.000000,-375.000000
44.169054,-2704.000000,-11084.000000,3972.000000,-23708.000000,-23271.000000,-25118.000000
44.388073,6200.000000,-13520.000000,-544.000000,-14342.000000,-8642.000000,-13625.000000
44.637162,8960.000000,-6320.000000,-7452.000000,-10619.000000,-17230.000000,-8462.000000
44.784438,3988.000000,-5992.000000,-10532.000000,-4285.000000,-14123.000000,-782.000000
45.023056,-6264.000000,-9304.000000,-20676.000000,-1248.000000,-17975.000000,-8166.000000
45.175396,-2616.000000,-3440.000000,-23392.000000,-9100.000000,9937.000000,-4378.000000
45.394747,4912.000000,-7748.000000,-11752.000000,5445.000000,14105.000000,1383.000000
45.651280,9092.000000,-1412.000000,-13544.000000,-110.000000,25738.000000,4354.000000
45.819864,19548.000000,-11288.000000,19980.000000,2756.000000,7705.000000,7734.000000
46.019011,13812.000000,-2768.000000,-756.000000,-1395.000000,19729.000000,-1954.000000
46.225526,15384.000000,-7212.000000,12552.000000,3832.000000,1620.000000,-2773.000000
46.400127,15904.000000,-7504.000000,1044.000000,-611.000000,-4291.000000,1026.000000
46.618873,17140.000000,-5876.000000,4716.000000,-1019.000000,491.000000,-2009.000000
46.795656,15084.000000,-4076.000000,6708.000000,695.000000,7050.000000,-103.000000
47.033942,16648.000000,-5144.000000,6808.000000,-4008.000000,-7915.000000,-1033.000000
47.231575,12408.000000,-4868.000000,-6452.000000,-11031.000000,-32768.000000,-1238.000000
47.416987,-1252.000000,-896.000000,-15936.000000,4531.000000,-14954.000000,4111.000000
47.625335,-3096.000000,-9016.000000,-15752.000000,3369.000000,-3105.000000,2039.000000
47.801140,-4004.000000,-8660.000000,-15832.000000,-3260.000000,-5233.000000,4583.000000
48.030032,-6748.000000,-11396.000000,-20704.000000,1711.000000,9126.000000,-2164.000000
48.237839,2412.000000,-8272.000000,-15376.000000,12290.000000,9319.000000,1175.000000
48.417938,12528.000000,-8880.000000,4620.000000,6157.000000,27929.000000,-936.000000
48.645048,9416.000000,-13528.000000,5664.000000,7433.000000,17129.000000,10936.000000
48.860533,3572.000000,-15456.000000,18988.000000,10950.000000,6226.000000,9064.000000
49.034787,-1916.000000,-11764.000000,12404.000000,7969.000000,13705.000000,2692.000000
49.244003,-3564.000000,-9756.000000,12460.000000,1742.000000,-842.000000,983.000000
49.419147,-1604.000000,-11492.000000,16028.000000,-8566.000000,-24495.000000,-657.000000
49.638405,4664.000000,-16004.000000,4092.000000,-16626.000000,-23266.000000,-3421.000000
49.861957,5144.000000,-14556.000000,-4480.000000,-20681.000000,-13513.000000,-7703.000000
